Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
pughlab,lrichard,2382357,2021-05-20T14:14:02,2021-05-20T14:14:16,25,0:00:14,"billing=125,cpu=25,mem=500G,n+",0:05:50,,,,,,node96,127:00:00,FAILED,,,
pughlab,lrichard,2382358,2021-05-20T14:14:18,2021-05-20T14:14:23,25,0:00:05,"billing=125,cpu=25,mem=500G,n+",0:02:05,,,,,,node96,127:00:00,FAILED,,,
pughlab,lrichard,2382359,2021-05-20T14:14:32,2021-05-20T14:14:36,25,0:00:04,"billing=125,cpu=25,mem=500G,n+",0:01:40,,,,,,node96,127:00:00,FAILED,,,
pughlab,lrichard,2382360,2021-05-20T14:15:32,2021-05-20T14:15:37,25,0:00:05,"billing=125,cpu=25,mem=500G,n+",0:02:05,,,,,,node96,127:00:00,FAILED,,,
pughlab,lrichard,2382361,2021-05-20T14:16:02,2021-05-20T14:16:06,25,0:00:04,"billing=125,cpu=25,mem=500G,n+",0:01:40,,,,,,node96,127:00:00,FAILED,,,
pughlab,lrichard,2382365,2021-05-20T14:17:02,2021-05-20T23:47:34,25,9:30:32,"billing=125,cpu=25,mem=500G,n+",9-21:43:20,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2382372,2021-05-20T14:19:55,2021-05-20T14:19:55,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,lrichard,2382366,2021-05-20T15:10:32,2021-05-21T00:41:08,25,9:30:36,"billing=125,cpu=25,mem=500G,n+",9-21:45:00,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2382370,2021-05-20T21:08:44,2021-05-20T21:08:44,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,lrichard,2382367,2021-05-20T23:48:32,2021-05-21T09:50:13,25,10:01:41,"billing=125,cpu=25,mem=500G,n+",10-10:42:0,5,,,,,node96,1:00,FAILED,,,
pughlab,lrichard,2382368,2021-05-21T00:41:18,2021-05-21T11:22:45,25,10:41:27,"billing=125,cpu=25,mem=500G,n+",11-03:16:1,5,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2383301,2021-05-21T01:20:43,2021-05-21T01:20:43,12,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,lrichard,2382369,2021-05-21T09:50:19,2021-05-21T22:10:21,25,12:20:02,"billing=125,cpu=25,mem=500G,n+",12-20:20:5,0,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2383215,2021-05-21T10:29:35,2021-05-21T10:29:35,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,jdiazmej,2383282,2021-05-21T11:23:19,2021-05-26T11:23:26,10,5-00:00:07,"billing=150,cpu=10,mem=600G,n+",50-00:01:1,0,,,,,node96,0:00,TIMEOUT,,,
pughlab,kuichen,2384221,2021-05-21T12:23:19,2021-05-21T13:23:52,8,1:00:33,"billing=75,cpu=8,mem=300G,nod+",8:04:24,,,,,,node96,0:00,CANCELLED by 14111,,,
pughlab,jdiazmej,2384312,2021-05-21T13:26:19,2021-05-24T16:38:33,10,3-03:12:14,"billing=75,cpu=10,mem=300G,no+",31-08:02:2,0,,,,,node96,0:00,COMPLETED,,,
pughlab,kuichen,2384308,2021-05-21T13:31:11,2021-05-21T13:31:11,8,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,hshirley,2382385,2021-05-21T22:11:19,2021-05-21T22:11:28,1,0:00:09,"billing=125,cpu=1,mem=500G,no+",0:00:09,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2384378,2021-05-21T22:14:19,2021-05-22T06:12:03,3,7:57:44,"billing=30,cpu=3,mem=120G,nod+",23:53:12,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2385898,2021-05-22T12:02:22,2021-05-22T12:03:57,3,0:01:35,"billing=30,cpu=3,mem=120G,nod+",0:04:45,,,,,,node96,1:00,FAILED,,,
pughlab,pluo,2385899,2021-05-22T12:17:22,2021-05-22T12:29:08,3,0:11:46,"billing=30,cpu=3,mem=120G,nod+",0:35:18,,,,,,node96,1:00,FAILED,,,
pughlab,lrichard,2385907,2021-05-22T12:51:03,2021-05-22T22:50:03,25,9:59:00,"billing=125,cpu=25,mem=500G,n+",10-09:35:0,0,,,,,node96,1:00,FAILED,,,
pughlab,sayyadhu,2386290,2021-05-22T20:27:19,2021-05-22T20:27:19,4,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 27306,,,
pughlab,pluo,2386247,2021-05-22T22:31:49,2021-05-22T22:31:49,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,lrichard,2385908,2021-05-22T22:50:33,2021-05-23T08:19:28,25,9:28:55,"billing=125,cpu=25,mem=500G,n+",9-21:02:55,,,,,,node96,1:00,FAILED,,,
pughlab,lrichard,2385909,2021-05-23T08:19:33,2021-05-23T21:41:22,25,13:21:49,"billing=125,cpu=25,mem=500G,n+",13-22:05:2,5,,,,,node96,1:00,FAILED,,,
pughlab,lrichard,2385910,2021-05-23T11:21:43,2021-05-23T11:21:43,25,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 20641,,,
pughlab,lrichard,2386482,2021-05-23T21:41:46,2021-05-24T11:02:04,25,13:20:18,"billing=125,cpu=25,mem=500G,n+",13-21:27:3,0,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2386355,2021-05-24T11:02:46,2021-05-24T12:14:58,1,1:12:12,"billing=125,cpu=1,mem=500G,no+",1:12:12,,,,,,node96,0:00,COMPLETED,,,
pughlab,pluo,2386362,2021-05-24T12:01:20,2021-05-24T12:01:20,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,hshirley,2386356,2021-05-24T12:17:46,2021-05-24T12:59:31,1,0:41:45,"billing=125,cpu=1,mem=500G,no+",0:41:45,,,,,,node96,0:00,COMPLETED,,,
pughlab,lrichard,2386478,2021-05-24T12:33:53,2021-05-24T12:33:53,15,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 20641,,,
pughlab,lrichard,2386481,2021-05-24T12:33:57,2021-05-24T12:33:57,15,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 20641,,,
pughlab,lrichard,2386480,2021-05-24T12:34:00,2021-05-24T12:34:00,15,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 20641,,,
